symbol,companyName,industry,cik,sector,country,mktCap,price,revenue,inventory,daysOfSalesOutstanding,daysOfInventoryOutstanding,daysOfPayablesOutstanding,priceEarningsRatio,grossProfitMargin,operatingProfitMargin,returnOnEquity,enterpriseValue,roic,capexToDepreciation,investedCapital,revenuePerShare,bookValuePerShare,ebitda,eps
ENPH,"Enphase Energy, Inc.",Solar,1463101,Energy,US,9017041180,66.74,380873000,17231000,54.87459074284600,70.52387248275790,49.91332103284630,83.55668229098380,0.46779635206486200,0.13072073893397500,0.049133913050947400,16345070580.0,0.02012074219806300,0.42446401034671400,2235411000,2.8144226292960100,6.8822868712545000,73083000,0.34
SMTC,Semtech Corporation,Semiconductors,88941,Technology,US,5700734235,66.15,236825000,-14814000,54.13718990816000,126.97195680882500,49.61469742872680,-111.6232345768520,0.5107906682149270,0.07509764594109580,0.1621251950161360,4440895430.0,0.03302440142973160,0.3945880100931000,1033555000,3.1442929406922600,-1.854565249140320,17800000,-0.1
DIOD,Diodes Incorporated,Semiconductors,29002,Technology,US,2899512882,62.58,350079000,-15800000,92.27751450386910,186.94028982509700,58.267642230179600,54.007889959985500,0.3370896283410320,0.06249160903681740,0.0075872827315763400,2679652790.0,0.009633894678696690,0.4459772848902900,1815596000,7.556042390623990,40.64900390667160,52892000,0.3
MU,"Micron Technology, Inc.",Semiconductors,723125,Technology,US,110681647800,99.34,8709000000,170000000,76.71029968997590,146.1387800783440,42.305540011191900,14.585588235294100,0.3844299001033410,0.2496268228269610,0.039959826484603700,116247200000.0,0.04217236749028710,1.5793103448275900,59145000000,7.838883888388840,42.12151215121510,4300000000,1.68
TSLA,"Tesla, Inc.",Auto - Manufacturers,1318605,Consumer Cyclical,US,1267139084400,394.74,25182000000,-193000000,11.840600428877800,64.78573197919250,65.33861778548430,96.52661975080760,0.19843539035819200,0.10789452783734400,0.03098768786375140,831364740000.0,0.02755349415119270,2.6060830860534100,77616000000,7.874296435272050,22.110694183864900,4224000000,0.68
ADI,"Analog Devices, Inc.",Semiconductors,6281,Technology,US,105398593890,212.37,2443205000,0,49.226237667326300,126.85692504067400,42.714548178958300,58.5348479726903,0.5796189840803370,0.23305125849038500,0.013590734925432900,117525832360.0,0.0123299571912581,0.31781439915767000,42407163000,4.9215300383536900,70.85827867663650,1119593000,0.96
TER,"Teradyne, Inc.",Semiconductors,97210,Technology,US,21851060370,134.17,737298000,0,59.12648616977130,88.9694930581414,47.413791957019000,37.47169197866100,0.5920455501032150,0.20624632102623400,0.05017980790631110,21400283860.0,0.048032905465694200,0.0,2247158000,4.5232451135568900,17.80678764677730,190093000,0.89
MKSI,"MKS Instruments, Inc.","Hardware, Equipment & Parts",1049502,Technology,US,7340291023,109.07,896000000,0,61.171875,182.32758620689700,59.35344827586210,29.54457258064520,0.48214285714285700,0.14285714285714300,0.02585487906588820,11490054000.0,0.018355074474974600,0.25287356321839100,7914000000,13.293768545994100,35.5786350148368,221000000,0.92
CSCO,"Cisco Systems, Inc.",Communication Equipment,858877,Technology,US,233947322400,58.74,13841000000,229000000,49.288346217758800,59.93008474576270,38.059322033898300,20.50927701955000,0.6589841774438260,0.17036341304819000,0.059875875168407800,245324600000.0,0.03649594472375630,0.2750316856780740,66810000000,3.468922305764410,11.347619047619000,3474000000,0.68
COHU,"Cohu, Inc.",Semiconductors,21535,Technology,US,1183521843,25.39,95342000,2053000,86.78578171215200,214.37247967210900,34.872248297745800,-16.820575570447500,0.3653583939921550,-0.16539405508590100,-0.020412916121184200,1046536250.0,-0.02145753445610320,0.19190455901150400,913703000,2.036569475595430,18.894328740788200,-1586000,-0.39
AOSL,Alpha and Omega Semiconductor Limited,Semiconductors,1387467,Technology,US,1045108800,36.0,181887000,10782000,15.390159824506400,121.19247821434000,27.419136436106300,-107.83538461538500,0.24480034307014800,-0.0013854755974863500,-0.0027879795190735300,964602480.0,-0.0008919411283484570,0.4750721054800170,607893000,6.271100537856850,30.867190732312800,14113000,-0.0861
